identifier	label	source_label	source_path	verdict
habitatmech:GOLD.c608026f23	Lesion site	Lesion site	Host-associated > Mammals: Human > Multisystem conditions > Diabetic foot ulcer (DFU) > Lesion site	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.c8f8029712	PCR blank control	PCR blank control	Engineered > Industrial production > Chemical products > PCR blank control	wrong — a negative control, which by construction contains no sample and so no habitat.
habitatmech:GOLD.d113abe60e	Periprosthetic joint	Periprosthetic joint	Host-associated > Mammals: Human > Skeletal system > Periprosthetic joint	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.d96dd38f86	Flow back/Produced fluids	Flow back/Produced fluids	Environmental > Terrestrial > Deep subsurface > Shale gas reservoir > Flow back/Produced fluids	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.da6a051c8b	River biofilm	River biofilm	Environmental > Aquatic > Freshwater > River > River biofilm	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.db9b9cd03c	P1 segment	P1 segment	Host-associated > Arthropoda: Insects > Digestive system > Hindgut > P1 segment	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.dfc0a650b0	Blade	Blade	Host-associated > Algae > Red algae > Blade	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.e30a9eb98c	Cervical	Cervical	Host-associated > Mammals: Human > Benign tumor > Polyps > Cervical	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.e474187df8	Algae raceway pond	Algae raceway pond	Engineered > Artificial ecosystem > Aquaculture > Algae raceway pond	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.f3dc60ff11	Glacier meltwater	Glacier meltwater	Environmental > Aquatic > Freshwater > Ice > Glacier meltwater	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.f93dba43d8	Digital dermatitis	Digital dermatitis	Host-associated > Mammals > Integumentary system > Skin > Digital dermatitis	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
