prego_id	ontology	biolink_category	taxon_count	direct_assertion_count	max_prego_score	channels	prego_synonyms
ENVO:00002149	ENVO	biolink:OntologyClass	1887	1949	4	annotated_genomes_isolates|environmental_samples	ocean water|ocean waters|sea water|sea waters
ENVO:00000384	ENVO	biolink:OntologyClass	1822	1822	2.53079	environmental_samples	river bed|river beds|river bottom|river bottoms
ENVO:02000059	ENVO	biolink:OntologyClass	1784	1784	1.64209	environmental_samples	surface soil|surface soils
ENVO:00000887	ENVO	biolink:OntologyClass	1775	1775	2.5246	environmental_samples	Large river|Large river biome|Large rivers|rivers|riverses
ENVO:00002259	ENVO	biolink:OntologyClass	1767	1767	3	annotated_genomes_isolates|environmental_samples	agricultural soil|agricultural soils
ENVO:01000211	ENVO	biolink:OntologyClass	1755	1795	4	environmental_samples	temperate coniferous forest|temperate coniferous forest biome|temperate coniferous forests
ENVO:01000250	ENVO	biolink:OntologyClass	1748	2333	4	environmental_samples	boreal forest|boreal forests|subpolar coniferous forest|subpolar coniferous forest biome|subpolar coniferous forests|taiga|taigal|taigas
ENVO:01000192	ENVO	biolink:OntologyClass	1682	1682	2.20346	environmental_samples	tropical grassland|tropical grassland biome|tropical grasslandic|tropical grasslands
ENVO:01000047	ENVO	biolink:OntologyClass	1625	1629	4	annotated_genomes_isolates|environmental_samples	mediterranean sea|mediterranean sea biome|mediterranean seal|mediterranean seas
ENVO:00000891	ENVO	biolink:OntologyClass	1617	1643	4	environmental_samples	Large lake|Large lake biome|Large lakes
ENVO:00003041	ENVO	biolink:OntologyClass	1617	1618	4	environmental_samples	cow shed|cow sheds
ENVO:00000023	ENVO	biolink:OntologyClass	1608	1686	4	annotated_genomes_isolates|environmental_samples	Creek|Creeks|beck|braided stream|braided streamic|braided streams|brook|brooks|burn (hydrographic)|fork (hydrographic|glacial stream|glacial streamic|glacial streams|lode|millstream|millstreamic|millstreams|stream|stream bend|stream bends|streamic|streams|streamses|streamsic
ENVO:00000209	ENVO	biolink:OntologyClass	1607	1607	4	annotated_genomes_isolates|environmental_samples	epipelagic|epipelagic zone|epipelagics|photic|photic zone|photics
ENVO:01000317	ENVO	biolink:OntologyClass	1553	1553	2.07388	environmental_samples	aquatic environment|aquatic environments
ENVO:00000109	ENVO	biolink:OntologyClass	1525	1525	2.45216	environmental_samples	MangroveForest|MangroveForests|bamboo|bamboos|barrens|barrenses|break|breakic|breaks|brigalow|brigalows|brush|brushes|bush|caatinga|caatingal|caatingas|chanaral|chanaralic|chanarals|coniferous forest|coniferous forests|deciduous forest|deciduous forests|equatorial forest|equatorial forests|equatorial rain forest|equatorial rain forests|garique|gariques|junglar|jungle|jungles|mallee scrub|mallee scrubs|monsoon forest|monsoon forests|mott|motte|mottes|mulga|mulga scrub|mulga scrubs|mulgal|mulgas|pine grove|pine groves|rain forest|rain forests|reforested area|reforested areal|reforested areas|sagebrushes|silva|silval|silvas|stand|standic|stands|thicket|thickets|thorn forest|thorn forests|tropical rain forest|tropical rain forests|wooded area|wooded areal|wooded areas|woodland|woodlandic|woodlands
ENVO:00010483	ENVO	biolink:OntologyClass	1509	1509	2.0043	environmental_samples	environmental material|environmental materialic|environmental materials|portion of environmental material|portion of environmental materialic|portion of environmental materials
ENVO:00000890	ENVO	biolink:OntologyClass	1473	1494	4	environmental_samples	Small river|Small river biome|Small rivers|rivers|riverses
ENVO:00002127	ENVO	biolink:OntologyClass	1445	1445	1.43365	environmental_samples	stream sediment|stream sediments
ENVO:00000395	ENVO	biolink:OntologyClass	1430	1430	1.35739	environmental_samples	WaterChannel|WaterChannels|channel|channels|chutes (hydrographic)|improved channel|improved channels|inlet (hydrographic)|reach (hydrographic)|sea channel|sea channels|sea channelses|seachannel (seafloor)|sound (bodies of water)|stream channel|stream channels|undersea channel|undersea channels
ENVO:00000012	ENVO	biolink:OntologyClass	1427	1427	1.81611	environmental_samples	OVERFALLS|OVERFALLSs|eddy|fluvial feature|fluvial features|hydrographic feature|hydrographic features|marine feature|marine features|overfallses|overfallsic|tidal ripp|tidal ripps
ENVO:00000044	ENVO	biolink:OntologyClass	1419	1419	3	annotated_genomes_isolates|environmental_samples	morass|morasses|morassic|muskeg|muskegs|peat bog|peat bogs|peatland|peatlandic|peatlands|turf
ENVO:01000157	ENVO	biolink:OntologyClass	1377	1377	1.54329	environmental_samples	microbial mat material|microbial mat materialic|microbial mat materials
ENVO:00000150	ENVO	biolink:OntologyClass	1322	1322	2.3477	environmental_samples	coral reef|coral reefs
ENVO:00005774	ENVO	biolink:OntologyClass	1320	1321	4	annotated_genomes_isolates|environmental_samples	peat|peat soil|peat soils
ENVO:00000511	ENVO	biolink:OntologyClass	1316	1316	1.93268	environmental_samples	blanket bog|blanket bogs
ENVO:00000106	ENVO	biolink:OntologyClass	1305	1313	4	annotated_genomes_isolates|environmental_samples	down|downland|downlandic|downlands|downs|downses|glade|glades|grassland|grasslandic|grasslands|grazing area|grazing areal|grazing areas|herbaceous area|herbaceous areal|herbaceous areas|range|ranges
ENVO:00000020	ENVO	biolink:OntologyClass	1300	1442	4	annotated_genomes_isolates|environmental_samples	broad|broadic|broads|catch basin|catch basins|lake|lakes|lakeses|llyn|loch|lochan|lochanic|lochans|lough|loughs|mere|mortlake|mortlakes|open water|open waters|pasteuer lake|pasteuer lakes
ENVO:00000045	ENVO	biolink:OntologyClass	1274	1281	4	annotated_genomes_isolates|environmental_samples	estuaries|estuary
ENVO:00002258	ENVO	biolink:OntologyClass	1204	1204	4	annotated_genomes_isolates	loam|loamies|loams|loamses|loamsic|loamy
ENVO:01000245	ENVO	biolink:OntologyClass	1189	1198	4	environmental_samples	cropland|cropland biome|croplandic|croplands
ENVO:00002018	ENVO	biolink:OntologyClass	1162	1166	4	annotated_genomes_isolates|environmental_samples	sewage|sewages
ENVO:01000020	ENVO	biolink:OntologyClass	1160	1160	3	annotated_genomes_isolates|environmental_samples	estuarine|estuarine biome|estuarines|estuarinous
ENVO:00000022	ENVO	biolink:OntologyClass	1143	1225	4	annotated_genomes_isolates|environmental_samples	braided river|braided rivers|rio|river|riverine|riverines|riverinous|rivers
ENVO:00005801	ENVO	biolink:OntologyClass	1122	1170	4	annotated_genomes_isolates|environmental_samples	rhizosphere|rhizospheres
ENVO:00005792	ENVO	biolink:OntologyClass	1118	1118	1.33759	environmental_samples	subterranean streams|subterranean streamses|subterranean streamsic|subterranean water|subterranean waters|underground water|underground waters
BTO:0001253	BTO	biolink:GrossAnatomicalStructure	1116	1125	4	annotated_genomes_isolates|environmental_samples	skin
ENVO:00000499	ENVO	biolink:OntologyClass	1098	1118	4	annotated_genomes_isolates|environmental_samples	deep|foredeep|foredeeps|trench|trenches|trough|trough (seafloor)|troughs
ENVO:00003040	ENVO	biolink:OntologyClass	1068	1152	4	environmental_samples	animal house|animal houses
ENVO:00003965	ENVO	biolink:OntologyClass	1026	1026	2.34854	environmental_samples	anaerobic digester sludge|anaerobic digester sludges
ENVO:00002019	ENVO	biolink:OntologyClass	1015	1016	3	annotated_genomes_isolates|environmental_samples	brackish water|brackish waters
BTO:0000545	BTO	biolink:GrossAnatomicalStructure	1005	1010	4	annotated_genomes_isolates|environmental_samples	gut
ENVO:00000463	ENVO	biolink:OntologyClass	991	1024	4	annotated_genomes_isolates|environmental_samples	harbor|harbors
ENVO:00002046	ENVO	biolink:OntologyClass	914	932	4	annotated_genomes_isolates|environmental_samples	activated sludge|activated sludges
ENVO:00000486	ENVO	biolink:OntologyClass	909	913	4	annotated_genomes_isolates|environmental_samples	SHOR|coastal shoreline|coastal shorelines|coastal shorelinous|coastline|coastlines|coastlinous|shoreline|shorelines|shorelinous
ENVO:00002043	ENVO	biolink:OntologyClass	902	905	3	annotated_genomes_isolates|environmental_samples	wastewater treatment plant|wastewater treatment plantic|wastewater treatment plants
ENVO:00000097	ENVO	biolink:OntologyClass	892	903	4	annotated_genomes_isolates|environmental_samples	arid region|arid regional|arid regions|desert|deserts
ENVO:00002150	ENVO	biolink:OntologyClass	812	816	4	annotated_genomes_isolates|environmental_samples	coastal water|coastal waters
ENVO:00002044	ENVO	biolink:OntologyClass	803	843	4	annotated_genomes_isolates|environmental_samples	sludge|sludges
BTO:0001188	BTO	biolink:GrossAnatomicalStructure	794	794	4	environmental_samples	root
ENVO:00000297	ENVO	biolink:OntologyClass	704	704	1.59474	environmental_samples	paddy field|paddy fields
ENVO:01000311	ENVO	biolink:OntologyClass	662	670	4	annotated_genomes_isolates|environmental_samples	agricultural region|agricultural regional|agricultural regions|cropland|croplandic|croplands|cultivated area|cultivated areal|cultivated areas|cultivated cropland|cultivated croplandic|cultivated croplands|cultivated environment|cultivated environments|market garden|market gardens|range|ranges|truck farm|truck farmic|truck farms|truck garden|truck gardens
ENVO:00003032	ENVO	biolink:OntologyClass	628	658	4	environmental_samples	fresh animal manure|fresh animal manures
ENVO:00002001	ENVO	biolink:OntologyClass	623	719	4	annotated_genomes_isolates|environmental_samples	waste water|waste waters
BTO:0000628	BTO	biolink:GrossAnatomicalStructure	607	607	4	environmental_samples	flower cluster|flower clusters|inflorescence|inflorescences
ENVO:01000048	ENVO	biolink:OntologyClass	587	851	4	annotated_genomes_isolates|environmental_samples	ocean|ocean biome|oceanic|oceans
BTO:0000166	BTO	biolink:GrossAnatomicalStructure	549	551	4	annotated_genomes_isolates|environmental_samples	blind intestine|blind intestines|blind intestinous|blindgut|blindguts|caeca|caecal|caecum|caecums|ceca|cecal|cecum|cecums|intestinum caeca|intestinum caecal|intestinum caecum|intestinum caecums|intestinum crassum caeca|intestinum crassum caecal|intestinum crassum caecum|intestinum crassum caecums|intestinum crassum ceca|intestinum crassum cecal|intestinum crassum cecum|intestinum crassum cecums
BTO:0000572	BTO	biolink:GrossAnatomicalStructure	540	540	4	annotated_genomes_isolates|environmental_samples	hemolymph|hemolymphs
ENVO:00000207	ENVO	biolink:OntologyClass	533	533	4	annotated_genomes_isolates	OceanLayer|OceanLayers|oceanic|oceanic zone|oceanics
ENVO:01000049	ENVO	biolink:OntologyClass	500	500	2.43853	environmental_samples	marine coral reef|marine coral reef biome|marine coral reefs
ENVO:00005749	ENVO	biolink:OntologyClass	461	463	4	environmental_samples	farm soil|farm soils
ENVO:01000198	ENVO	biolink:OntologyClass	439	463	4	environmental_samples	mixed broadleaf-coniferoal|mixed broadleaf-coniferoi|mixed broadleaf-coniferous|mixed broadleaf-coniferouses|mixed forest|mixed forest biome|mixed forests|mixedwood forests|mixedwood forestses
ENVO:02000049	ENVO	biolink:OntologyClass	432	432	3	annotated_genomes_isolates|environmental_samples	Coastal Waters|Coastal Waterses|coastal water bodies|coastal water body
BTO:0001090	BTO	biolink:GrossAnatomicalStructure	428	431	4	annotated_genomes_isolates|environmental_samples	buccal cavities|buccal cavity|cavitas oris|cavitas orises|cavum oris|cavum orises|mouth|mouth cavities|mouth cavity|mouths|oral cavities|oral cavity|oral fissure|oral fissures|oral vestibular|oral vestibule|oral vestibules|rima oris|rima orises|vestibule of mouth|vestibule of mouths|vestibulum oris|vestibulum orises
ENVO:00000000	ENVO	biolink:OntologyClass	408	415	4	environmental_samples	geographic feature|geographic features|macroscopic spatial feature|macroscopic spatial features
BTO:0000648	BTO	biolink:GrossAnatomicalStructure	404	405	4	annotated_genomes_isolates|environmental_samples	bowel|bowels|colonic goblet cell|colonic goblet cells|colonic goblet cellses|intestinal globet cell|intestinal globet cells|intestine|intestines|intestinous
BTO:0001447	BTO	biolink:GrossAnatomicalStructure	404	404	4	annotated_genomes_isolates|environmental_samples	forearm|forearmic|forearms
ENVO:00012408	ENVO	biolink:OntologyClass	395	396	4	annotated_genomes_isolates|environmental_samples	aquifer|aquifers
BTO:0004668	BTO	biolink:GrossAnatomicalStructure	392	392	4	environmental_samples	hand
ENVO:00002004	ENVO	biolink:OntologyClass	386	386	4	environmental_samples	mesoscopic physical object|mesoscopic physical objects
BTO:0001043	BTO	biolink:GrossAnatomicalStructure	378	387	4	annotated_genomes_isolates|environmental_samples	adult|adult stage|adult stages|adults
ENVO:00000070	ENVO	biolink:OntologyClass	376	376	1.52439	environmental_samples	constructed feature|constructed features
ENVO:00002209	ENVO	biolink:OntologyClass	355	355	4	annotated_genomes_isolates|environmental_samples	saline lake sediment|saline lake sediments|soda lake sediment|soda lake sediments
BTO:0001419	BTO	biolink:GrossAnatomicalStructure	345	350	4	annotated_genomes_isolates|environmental_samples	urine|urines|urinous
BTO:0000713	BTO	biolink:GrossAnatomicalStructure	342	342	4	environmental_samples	leaf
ENVO:00000469	ENVO	biolink:OntologyClass	339	339	1.75033	environmental_samples	research facilities|research facility
ENVO:00002034	ENVO	biolink:OntologyClass	325	325	4	annotated_genomes_isolates|environmental_samples	biofilm|biofilms
ENVO:00002223	ENVO	biolink:OntologyClass	318	318	1.33315	environmental_samples	oligotrophic water|oligotrophic waters
ENVO:01000059	ENVO	biolink:OntologyClass	316	316	2.20432	environmental_samples	sea grass bed|sea grass beds
BTO:0001210	BTO	biolink:GrossAnatomicalStructure	307	307	4	annotated_genomes_isolates|environmental_samples	SGS cell|SGS cells|sgs|sgs cell line|sgs cell lines|sgs cell lineses|sgs cell linous|sgs cellses
ENVO:01000118	ENVO	biolink:OntologyClass	300	300	2.20432	environmental_samples	sandy sediment|sandy sediments
BTO:0001300	BTO	biolink:GrossAnatomicalStructure	285	285	4	annotated_genomes_isolates|environmental_samples	axis|culm|stalkic|stalks|stem
BTO:0001202	BTO	biolink:GrossAnatomicalStructure	283	284	4	annotated_genomes_isolates|environmental_samples	saliva|salival|salivas
BTO:0001713	BTO	biolink:GrossAnatomicalStructure	278	278	4	environmental_samples	back|dorsa|dorsal|dorsum|dorsums
ENVO:01000179	ENVO	biolink:OntologyClass	278	292	4	annotated_genomes_isolates|environmental_samples	desert|desert biome|deserts
ENVO:01000228	ENVO	biolink:OntologyClass	267	267	4	environmental_samples	rain forest|rain forests|rainforest|rainforest biome|rainforests|tropical moist broadleaf forest|tropical moist broadleaf forest biome|tropical moist broadleaf forests
BTO:0005373	BTO	biolink:GrossAnatomicalStructure	256	256	1.75005	environmental_samples	oil|oil secretion|oil secretional|oil secretions
ENVO:00002984	ENVO	biolink:OntologyClass	253	253	4	annotated_genomes_isolates|environmental_samples	crude oil|crude oils|petrolea|petroleal|petroleum|petroleums
ENVO:00000319	ENVO	biolink:OntologyClass	247	247	4	environmental_samples	low tide|low tide line|low tide lines|low tide linous|low tide zone|low tides|lower littoral|lower littoralic|lower littorals
BTO:0005692	BTO	biolink:GrossAnatomicalStructure	246	246	4	environmental_samples	column|columns
BTO:0001385	BTO	biolink:GrossAnatomicalStructure	245	245	4	environmental_samples	tongue|tongues
ENVO:00000051	ENVO	biolink:OntologyClass	243	381	4	annotated_genomes_isolates	hot spring|hot springs|thermal feature|thermal features|thermal spring|thermal springs
BTO:0005810	BTO	biolink:GrossAnatomicalStructure	241	241	3	annotated_genomes_isolates	immune system|immune systems
BTO:0001313	BTO	biolink:GrossAnatomicalStructure	239	239	3	annotated_genomes_isolates|environmental_samples	stylar|style|styles
ENVO:01000219	ENVO	biolink:OntologyClass	239	240	4	environmental_samples	anthropogenic terrestrial|anthropogenic terrestrial biome|anthropogenic terrestrialic|anthropogenic terrestrials
ENVO:00005761	ENVO	biolink:OntologyClass	232	232	4	environmental_samples	meadow soil|meadow soils
ENVO:01000212	ENVO	biolink:OntologyClass	232	232	4	environmental_samples	temperate mixed forest|temperate mixed forest biome|temperate mixed forests
BTO:0001194	BTO	biolink:GrossAnatomicalStructure	231	231	4	annotated_genomes_isolates|environmental_samples	paunch|paunches|rumen|rumens
ENVO:01000105	ENVO	biolink:OntologyClass	231	243	4	environmental_samples	marine benthic feature|marine benthic features
ENVO:01000196	ENVO	biolink:OntologyClass	229	229	1.73866	environmental_samples	coniferous forest|coniferous forest biome|coniferous forests|pine forest|pine forests
BTO:0001228	BTO	biolink:GrossAnatomicalStructure	228	228	3	annotated_genomes_isolates|environmental_samples	seedling|seedlings
BTO:0001278	BTO	biolink:GrossAnatomicalStructure	228	228	3	annotated_genomes_isolates|environmental_samples	spike|spikes
BTO:0000537	BTO	biolink:GrossAnatomicalStructure	226	226	3	annotated_genomes_isolates|environmental_samples	nectar|nectaric|nectars
ENVO:00005750	ENVO	biolink:OntologyClass	222	222	4	environmental_samples	grassland soil|grassland soils
BTO:0000243	BTO	biolink:GrossAnatomicalStructure	218	219	4	annotated_genomes_isolates|environmental_samples	vagina|vaginal|vaginas
BTO:0000301	BTO	biolink:GrossAnatomicalStructure	218	218	4	environmental_samples	crop
BTO:0000620	BTO	biolink:GrossAnatomicalStructure	216	217	4	annotated_genomes_isolates|environmental_samples	distal intestine|distal intestines|distal intestinous|ilea|ileal|ileum|ileums|intestinum ilea|intestinum ileal|intestinum ileum|intestinum ileums|lower intestine|lower intestines|lower intestinous|posterior intestine|posterior intestines|posterior intestinous
BTO:0003084	BTO	biolink:GrossAnatomicalStructure	213	213	4	environmental_samples	lubrication fluid|lubrication fluids|vaginal fluid|vaginal fluids
BTO:0000089	BTO	biolink:GrossAnatomicalStructure	206	213	4	annotated_genomes_isolates|environmental_samples	blood|bloods|whole blood|whole bloods
ENVO:00000892	ENVO	biolink:OntologyClass	203	203	4	environmental_samples	Small lake|Small lake biome|Small lakes
ENVO:00000243	ENVO	biolink:OntologyClass	201	201	4	environmental_samples	freshwater wetland|freshwater wetlandic|freshwater wetlands
BTO:0005516	BTO	biolink:GrossAnatomicalStructure	199	199	4	annotated_genomes_isolates|environmental_samples	wood
ENVO:01000205	ENVO	biolink:OntologyClass	196	196	3	annotated_genomes_isolates	subtropical|subtropicalic|subtropicals
ENVO:00002042	ENVO	biolink:OntologyClass	194	200	4	annotated_genomes_isolates|environmental_samples	surface water|surface waters
ENVO:00000183	ENVO	biolink:OntologyClass	193	193	1.71073	environmental_samples	stony desert|stony deserts
BTO:0002690	BTO	biolink:GrossAnatomicalStructure	188	191	3	annotated_genomes_isolates|environmental_samples	biofilm|biofilms
BTO:0001388	BTO	biolink:GrossAnatomicalStructure	186	186	1.14527	environmental_samples	trachea|tracheal|tracheal tubular|tracheal tubule|tracheal tubules|tracheas|windpipe|windpipes
BTO:0000886	BTO	biolink:GrossAnatomicalStructure	184	185	4	annotated_genomes_isolates|environmental_samples	mucosa|mucosal|mucosas|mucous membrane|mucous membranes|mucous membranous|tunica mucosa|tunica mucosal|tunica mucosas
ENVO:00001999	ENVO	biolink:OntologyClass	171	171	4	environmental_samples	marine water bodies|marine water body
ENVO:00000275	ENVO	biolink:OntologyClass	168	171	4	annotated_genomes_isolates	Trench|Trenches|deep|deep sea trench|deep sea trenches|ocean trench|ocean trenches|undersea trench|undersea trenches|undersea trough|undersea troughs
BTO:0001069	BTO	biolink:GrossAnatomicalStructure	161	161	1.68431	environmental_samples	pitcher|pitchers
ENVO:00001995	ENVO	biolink:OntologyClass	158	158	4	annotated_genomes_isolates|environmental_samples	rock
BTO:0002168	BTO	biolink:GrossAnatomicalStructure	151	153	4	annotated_genomes_isolates|environmental_samples	child|childs|juvenilar|juvenile|juvenile stage|juvenile stages|juveniles|young adult|young adults
BTO:0001307	BTO	biolink:GrossAnatomicalStructure	150	150	4	annotated_genomes_isolates	gaster|gasters|stomach|stomaches|stomachic
ENVO:00002000	ENVO	biolink:OntologyClass	150	150	4	annotated_genomes_isolates|environmental_samples	flank|flankic|flanks|side|slope|slopes
ENVO:00000016	ENVO	biolink:OntologyClass	145	152	4	annotated_genomes_isolates|environmental_samples	closed sea|closed seal|closed seas|marginal sea|marginal seal|marginal seas|open sea|open seal|open seas|open sound|open sounds|open water|open waters|sea
BTO:0002292	BTO	biolink:GrossAnatomicalStructure	140	140	3	annotated_genomes_isolates	flagella|flagellal|flagellum|flagellums
ENVO:00000476	ENVO	biolink:OntologyClass	140	140	4	environmental_samples	lake inlet|lake inlets
ENVO:01000177	ENVO	biolink:OntologyClass	138	138	4	annotated_genomes_isolates|environmental_samples	grassland|grassland biome|grasslandic|grasslands
ENVO:00000134	ENVO	biolink:OntologyClass	135	146	4	annotated_genomes_isolates|environmental_samples	permafrost|permafrosts
ENVO:01000009	ENVO	biolink:OntologyClass	133	133	4	environmental_samples	biotic mesoscopic physical object|biotic mesoscopic physical objects|organic material feature|organic material features
ENVO:00000032	ENVO	biolink:OntologyClass	132	135	4	annotated_genomes_isolates|environmental_samples	Baie|Golfe|Golfes|bahia|bahial|bahias|bay|bays|bight|bights|embayment|embayments|firth|firths|geo|gulf|sea loch|sea loches|sea lough|sea loughs
BTO:0000511	BTO	biolink:GrossAnatomicalStructure	127	129	4	annotated_genomes_isolates|environmental_samples	gastrointestinal tract|gastrointestinal tractic|gastrointestinal tracts
ENVO:00000283	ENVO	biolink:OntologyClass	126	126	3	annotated_genomes_isolates	beach cusp|beach cusps|crest|crests|cuesta|cuestal|cuestas|hogback|hogbackic|hogbacks|ridge|ridges|rise (seafloor)|spur|spur (physiographic)
ENVO:01000001	ENVO	biolink:OntologyClass	126	126	4	annotated_genomes_isolates|environmental_samples	mud|muddies|muddy
BTO:0001493	BTO	biolink:GrossAnatomicalStructure	125	125	3	annotated_genomes_isolates|environmental_samples	Rumpf|Rumpfs|torso|torsoes|trunk|trunks
ENVO:01000199	ENVO	biolink:OntologyClass	124	124	4	environmental_samples	mediterranean forest|mediterranean forest biome|mediterranean forests
ENVO:01000306	ENVO	biolink:OntologyClass	122	125	4	environmental_samples	freshwater environment|freshwater environments
ENVO:01000022	ENVO	biolink:OntologyClass	121	121	4	environmental_samples	marine salt marsh|marine salt marsh biome|marine salt marshes|marine salt marshic
BTO:0000058	BTO	biolink:GrossAnatomicalStructure	114	114	4	annotated_genomes_isolates|environmental_samples	alimentary canal|alimentary canalic|alimentary canals|alimentary tract|alimentary tractic|alimentary tracts|digestive canal|digestive canalic|digestive canals|digestive system|digestive systems|digestive tract|digestive tractic|digestive tracts|digestive tube|digestive tubes
ENVO:01000029	ENVO	biolink:OntologyClass	112	112	4	environmental_samples	marine reef|marine reef biome|marine reefs
ENVO:01000143	ENVO	biolink:OntologyClass	112	112	4	environmental_samples	marine reef|marine reefs
ENVO:00000354	ENVO	biolink:OntologyClass	108	108	4	annotated_genomes_isolates	volcanic|volcanic complex|volcanic field|volcanic fields|volcanic group|volcanic groups|volcanic system|volcanic systems|volcanics
